time,co2,power1,power2,power3,power4,door,rms,motion,labels,sum_power,derivative_co2
0,390.0,22.0,0.0,11.0,0.0,0.0,0.019389,1.0,0,33.0,0.0
600,390.0,22.0,0.0,11.0,0.0,0.0,0.019389,0.0,0,33.0,0.0
1200,390.0,22.0,0.0,11.0,0.0,0.0,0.019389,0.0,0,33.0,0.0
1800,390.0,22.0,0.0,11.0,0.0,0.0,0.019389,0.0,0,33.0,0.0
2400,390.0,22.0,0.0,11.0,0.0,0.0,0.034258,1.0,0,33.0,0.0
3000,390.0,22.0,0.0,11.0,0.0,0.0,0.034258,4.0,0,33.0,0.0
3600,390.0,22.0,0.0,11.0,0.0,0.0,0.034258,5.0,0,33.0,0.0
4200,390.0,22.0,0.0,11.0,0.0,0.0,0.023639,5.0,0,33.0,0.0
4800,390.0,22.0,0.0,11.0,0.0,0.0,0.023639,4.0,0,33.0,0.0
5400,390.0,22.0,0.0,11.0,0.0,0.0,0.023639,4.0,0,33.0,0.0
6000,390.0,22.0,0.0,11.0,0.0,0.0,0.015269,5.0,0,33.0,-5.185185185185162
6600,390.0,22.0,0.0,11.0,0.0,0.0,0.015269,2.0,0,33.0,-17.03703703703701
7200,390.0,22.0,0.0,11.0,0.0,0.0,0.015269,5.0,0,33.0,-20.0
7800,395.18518518518516,22.0,0.0,11.0,0.0,1.0,0.008098,5.0,0,33.0,-14.814814814814838
8400,407.037037037037,22.0,0.0,11.0,0.0,0.0,0.008098,4.0,0,33.0,-2.9629629629629903
9000,410.0,22.0,0.0,11.0,0.0,0.0,0.008098,5.0,0,33.0,-11.481481481481467
9600,410.0,22.0,0.0,11.0,0.0,0.0,0.006716,4.0,0,33.0,-68.84615384615387
10200,410.0,22.0,0.0,11.0,0.0,0.0,0.006716,5.0,0,33.0,-114.81481481481478
10800,421.48148148148147,22.0,0.0,11.0,0.0,1.0,0.006716,4.0,0,33.0,-135.18518518518516
11400,478.84615384615387,22.0,0.0,11.0,0.0,0.0,0.009241,5.0,1,33.0,-126.33903133903135
12000,524.8148148148148,22.0,0.0,11.0,0.0,1.0,0.009241,5.0,1,33.0,-128.2621082621083
12600,556.6666666666666,22.0,0.0,11.0,0.0,1.0,0.009241,5.0,1,33.0,-144.07407407407413
13200,605.1851851851852,22.0,0.0,11.0,0.0,1.0,0.010303,5.0,1,33.0,-85.55555555555554
13800,653.0769230769231,22.0,0.0,11.0,0.0,1.0,0.010303,5.0,1,33.0,-55.81196581196582
14400,700.7407407407408,22.0,0.0,11.0,0.0,0.0,0.010303,5.0,1,33.0,-57.72079772079769
15000,690.7407407407408,22.0,0.0,11.0,0.0,1.0,0.010034,5.0,1,33.0,-123.33333333333326
15600,708.8888888888889,22.0,0.0,11.0,0.0,1.0,0.010034,4.0,1,33.0,-138.51851851851848
16200,758.4615384615385,22.0,0.0,11.0,0.0,0.0,0.010034,5.0,1,33.0,-129.6866096866097
16800,814.074074074074,22.0,0.0,11.0,100.0,0.0,0.008608,5.0,1,133.0,-110.92592592592598
17400,847.4074074074074,22.0,0.0,11.0,100.0,0.0,0.008608,5.0,1,133.0,-155.18518518518522
18000,888.1481481481482,22.0,0.0,11.0,100.0,0.0,0.008608,5.0,1,133.0,-282.5925925925925
18600,925.0,22.0,0.0,11.0,100.0,0.0,0.008794,5.0,1,133.0,-426.1111111111111
19200,1002.5925925925926,22.0,64.0,11.0,100.0,0.0,0.008794,5.0,1,197.0,-452.4074074074074
19800,1170.7407407407406,27.0,68.0,127.0,90.0,0.0,0.008794,4.0,2,312.0,-365.9259259259261
20400,1351.111111111111,92.0,66.0,134.0,72.0,1.0,0.007374,5.0,3,364.0,-270.7407407407409
21000,1455.0,90.0,66.0,126.0,59.0,1.0,0.007374,5.0,2,341.0,-268.8461538461538
21600,1536.6666666666667,88.0,50.0,128.0,58.0,0.0,0.007374,5.0,2,324.0,-164.48717948717945
22200,1621.851851851852,79.0,59.0,109.0,51.0,0.0,0.007098,4.0,2,298.0,-74.81481481481478
22800,1723.8461538461538,73.0,60.0,39.0,47.0,0.0,0.007098,4.0,2,219.0,-94.30199430199423
23400,1701.1538461538462,33.0,54.0,65.0,35.0,0.0,0.007098,4.0,2,187.0,-300.32763532763533
24000,1696.6666666666667,90.0,46.0,61.0,35.0,0.0,0.007876,4.0,2,232.0,-436.4102564102561
24600,1818.148148148148,82.0,44.0,40.0,29.0,0.0,0.007876,4.0,3,195.0,-412.9629629629633
25200,2001.4814814814815,94.0,40.0,111.0,0.0,0.0,0.007876,5.0,3,245.0,-338.5185185185185
25800,2133.076923076923,76.0,40.0,105.0,0.0,0.0,0.007717,4.0,2,221.0,-303.2193732193732
26400,2231.1111111111113,87.0,43.0,102.0,0.0,0.0,0.007717,4.0,2,232.0,-285.0427350427349
27000,2340.0,89.0,43.0,106.0,0.0,0.0,0.007717,5.0,2,238.0,-210.0
27600,2436.296296296296,84.0,36.0,110.0,0.0,0.0,0.006681,5.0,2,230.0,-113.70370370370392
28200,2516.153846153846,74.0,36.0,97.0,0.0,0.0,0.006681,5.0,2,207.0,-33.84615384615381
28800,2550.0,87.0,35.0,92.0,0.0,0.0,0.006681,5.0,3,214.0,0.0
29400,2550.0,37.0,39.0,104.0,0.0,0.0,0.00576,5.0,3,180.0,0.0
30000,2550.0,40.0,17.0,21.0,0.0,0.0,0.00576,5.0,3,78.0,0.0
30600,2550.0,35.0,16.0,20.0,19.0,0.0,0.00576,4.0,1,90.0,0.0
31200,2550.0,34.0,16.0,20.0,57.0,0.0,0.005855,5.0,1,127.0,0.0
31800,2550.0,24.0,17.0,21.0,60.0,0.0,0.005855,5.0,1,122.0,2.2222222222221717
32400,2550.0,24.0,16.0,20.0,53.0,0.0,0.005855,5.0,1,113.0,13.333333333333485
33000,2550.0,24.0,16.0,20.0,36.0,1.0,0.005131,5.0,1,96.0,24.074074074073906
33600,2547.777777777778,81.0,16.0,22.0,37.0,0.0,0.005131,4.0,1,156.0,9.316239316239262
34200,2536.6666666666665,75.0,17.0,23.0,31.0,0.0,0.005131,0.0,1,146.0,-13.333333333333485
34800,2525.925925925926,83.0,16.0,20.0,32.0,0.0,0.005796,4.0,1,151.0,-24.074074074073906
35400,2538.4615384615386,102.0,30.0,20.0,32.0,0.0,0.005796,5.0,1,184.0,-11.538461538461434
36000,2550.0,90.0,31.0,20.0,31.0,0.0,0.005796,4.0,2,172.0,0.0
36600,2550.0,76.0,26.0,31.0,40.0,0.0,0.004037,5.0,2,173.0,0.0
37200,2550.0,76.0,17.0,33.0,22.0,0.0,0.004037,5.0,3,148.0,0.0
37800,2550.0,75.0,17.0,36.0,28.0,0.0,0.004037,4.0,2,156.0,0.0
38400,2550.0,75.0,17.0,25.0,25.0,0.0,0.005465,5.0,2,142.0,0.0
39000,2550.0,77.0,16.0,24.0,25.0,0.0,0.005465,5.0,1,142.0,0.0
39600,2550.0,82.0,16.0,34.0,30.0,0.0,0.005465,5.0,1,162.0,0.0
40200,2550.0,79.0,16.0,35.0,25.0,0.0,0.003678,5.0,2,155.0,0.0
40800,2550.0,76.0,16.0,26.0,37.0,0.0,0.003678,5.0,2,155.0,0.0
41400,2550.0,73.0,16.0,28.0,35.0,0.0,0.003678,5.0,2,152.0,0.0
42000,2550.0,73.0,16.0,11.0,19.0,0.0,0.004054,5.0,2,119.0,15.925925925926094
42600,2550.0,74.0,17.0,11.0,15.0,0.0,0.004054,4.0,1,117.0,43.333333333333485
43200,2550.0,71.0,16.0,11.0,24.0,0.0,0.004054,4.0,1,122.0,88.46153846153857
43800,2534.074074074074,75.0,16.0,11.0,30.0,0.0,0.003348,5.0,1,132.0,109.62962962962956
44400,2506.6666666666665,73.0,16.0,11.0,25.0,0.0,0.003348,5.0,1,125.0,102.96296296296259
45000,2461.5384615384614,34.0,16.0,11.0,22.0,0.0,0.003348,5.0,1,83.0,-47.72079772079769
45600,2424.4444444444443,74.0,16.0,11.0,34.0,0.0,0.003537,5.0,1,135.0,-125.55555555555566
46200,2403.703703703704,74.0,49.0,11.0,22.0,0.0,0.003537,5.0,1,156.0,-146.29629629629608
46800,2509.259259259259,84.0,25.0,11.0,20.0,0.0,0.003537,5.0,1,140.0,-40.740740740740875
47400,2550.0,73.0,25.0,11.0,29.0,0.0,0.003178,5.0,3,138.0,0.0
48000,2550.0,73.0,29.0,11.0,28.0,0.0,0.003178,5.0,2,141.0,0.0
48600,2550.0,72.0,54.0,11.0,0.0,0.0,0.003178,2.0,2,137.0,0.0
49200,2550.0,74.0,28.0,11.0,0.0,0.0,0.003226,0.0,1,113.0,0.0
49800,2550.0,79.0,28.0,11.0,0.0,0.0,0.003226,0.0,2,118.0,0.0
50400,2550.0,78.0,25.0,11.0,0.0,0.0,0.003226,0.0,1,114.0,0.0
51000,2550.0,74.0,26.0,11.0,0.0,0.0,0.003427,0.0,0,111.0,0.0
51600,2550.0,73.0,51.0,11.0,0.0,0.0,0.003427,0.0,0,135.0,0.0
52200,2550.0,22.0,56.0,11.0,0.0,0.0,0.003427,0.0,0,89.0,0.0
52800,2550.0,22.0,49.0,11.0,0.0,0.0,0.003322,0.0,0,82.0,0.0
53400,2550.0,22.0,53.0,11.0,0.0,0.0,0.003322,0.0,0,86.0,0.0
54000,2550.0,22.0,52.0,11.0,0.0,0.0,0.003322,0.0,0,85.0,0.0
54600,2550.0,22.0,48.0,11.0,0.0,0.0,0.003382,0.0,0,81.0,0.0
55200,2550.0,22.0,51.0,11.0,0.0,0.0,0.003382,0.0,0,84.0,10.769230769230944
55800,2550.0,22.0,52.0,11.0,0.0,0.0,0.003382,0.0,0,85.0,143.70370370370392
56400,2550.0,22.0,0.0,11.0,0.0,0.0,0.004234,0.0,0,33.0,306.2962962962961
57000,2539.230769230769,22.0,0.0,11.0,0.0,0.0,0.004234,0.0,0,33.0,384.4159544159543
57600,2406.296296296296,22.0,0.0,11.0,0.0,0.0,0.004234,0.0,0,33.0,305.52706552706513
58200,2243.703703703704,22.0,0.0,11.0,0.0,0.0,0.003479,0.0,0,33.0,230.00000000000023
58800,2154.814814814815,22.0,0.0,11.0,0.0,0.0,0.003479,0.0,0,33.0,214.81481481481478
59400,2100.769230769231,22.0,0.0,11.0,0.0,0.0,0.003479,0.0,0,33.0,229.65811965811986
60000,2013.7037037037037,22.0,0.0,11.0,0.0,0.0,0.003649,0.0,0,33.0,204.08831908831917
60600,1940.0,22.0,0.0,11.0,0.0,0.0,0.003649,0.0,0,33.0,185.92592592592587
61200,1871.111111111111,22.0,0.0,11.0,0.0,0.0,0.003649,0.0,0,33.0,150.74074074074065
61800,1809.6153846153845,22.0,0.0,11.0,0.0,0.0,0.004633,0.0,0,33.0,149.98575498575497
62400,1754.0740740740741,22.0,0.0,11.0,0.0,0.0,0.004633,0.0,0,33.0,146.76638176638176
63000,1720.3703703703704,22.0,0.0,11.0,0.0,0.0,0.004633,0.0,0,33.0,181.1111111111111
63600,1659.6296296296296,22.0,0.0,11.0,0.0,0.0,0.004405,0.0,0,33.0,150.3703703703702
64200,1607.3076923076924,22.0,0.0,11.0,0.0,0.0,0.004405,0.0,0,33.0,138.41880341880346
64800,1539.2592592592594,22.0,0.0,11.0,0.0,0.0,0.004405,0.0,0,33.0,118.49002849002864
65400,1509.2592592592594,22.0,0.0,11.0,0.0,0.0,0.004682,0.0,0,33.0,95.55555555555566
66000,1468.888888888889,22.0,0.0,11.0,0.0,0.0,0.004682,0.0,0,33.0,97.77777777777783
66600,1420.7692307692307,22.0,0.0,11.0,0.0,0.0,0.004682,0.0,0,33.0,107.43589743589746
67200,1413.7037037037037,22.0,0.0,11.0,0.0,0.0,0.00456,0.0,0,33.0,121.78062678062679
67800,1371.111111111111,22.0,0.0,11.0,0.0,0.0,0.00456,0.0,0,33.0,104.07407407407413
68400,1313.3333333333333,22.0,0.0,11.0,0.0,0.0,0.00456,0.0,0,33.0,70.74074074074065
69000,1291.923076923077,22.0,0.0,11.0,0.0,0.0,0.005812,0.0,0,33.0,86.36752136752125
69600,1267.037037037037,22.0,0.0,11.0,0.0,0.0,0.005812,0.0,0,33.0,89.34472934472933
70200,1242.5925925925926,22.0,0.0,11.0,0.0,0.0,0.005812,0.0,0,33.0,95.18518518518522
70800,1205.5555555555557,22.0,0.0,11.0,0.0,0.0,0.005185,0.0,0,33.0,75.9259259259261
71400,1177.6923076923076,22.0,0.0,11.0,0.0,0.0,0.005185,0.0,0,33.0,69.9145299145298
72000,1147.4074074074074,22.0,0.0,11.0,0.0,0.0,0.005185,0.0,0,33.0,71.2535612535612
72600,1129.6296296296296,22.0,0.0,11.0,0.0,0.0,0.004647,0.0,0,33.0,86.2962962962963
73200,1107.7777777777778,22.0,0.0,11.0,0.0,0.0,0.004647,0.0,0,33.0,77.77777777777783
73800,1076.1538461538462,22.0,0.0,11.0,0.0,0.0,0.004647,0.0,0,33.0,65.0427350427351
74400,1043.3333333333333,22.0,0.0,11.0,0.0,0.0,0.005301,0.0,0,33.0,59.102564102563974
75000,1030.0,22.0,0.0,11.0,0.0,0.0,0.005301,0.0,0,33.0,69.25925925925924
75600,1011.1111111111111,22.0,0.0,11.0,0.0,0.0,0.005301,0.0,0,33.0,82.22222222222217
76200,984.2307692307693,22.0,0.0,11.0,0.0,0.0,0.00533,0.0,0,33.0,86.08262108262113
76800,960.7407407407408,22.0,0.0,11.0,0.0,0.0,0.00533,0.0,0,33.0,86.12535612535612
77400,928.8888888888889,22.0,0.0,11.0,0.0,0.0,0.00533,0.0,0,33.0,62.59259259259261
78000,898.1481481481482,22.0,0.0,11.0,0.0,0.0,0.005528,0.0,0,33.0,43.33333333333337
78600,874.6153846153846,22.0,0.0,11.0,0.0,0.0,0.005528,0.0,0,33.0,33.87464387464388
79200,866.2962962962963,22.0,0.0,11.0,0.0,0.0,0.005528,0.0,0,33.0,45.52706552706559
79800,854.8148148148148,22.0,0.0,11.0,0.0,0.0,0.006232,0.0,0,33.0,52.96296296296293
80400,840.7407407407408,22.0,0.0,11.0,0.0,0.0,0.006232,0.0,0,33.0,50.0
81000,820.7692307692307,22.0,0.0,11.0,0.0,0.0,0.006232,0.0,0,33.0,40.39886039886039
81600,801.8518518518518,22.0,0.0,11.0,0.0,0.0,0.005847,0.0,0,33.0,35.69800569800566
82200,790.7407407407408,22.0,0.0,11.0,0.0,0.0,0.005847,0.0,0,33.0,37.03703703703707
82800,780.3703703703703,22.0,0.0,11.0,0.0,0.0,0.005847,0.0,0,33.0,39.25925925925924
83400,766.1538461538462,22.0,0.0,11.0,0.0,0.0,0.006114,0.0,0,33.0,42.07977207977217
84000,753.7037037037037,22.0,0.0,11.0,0.0,0.0,0.006114,0.0,0,33.0,39.857549857549884
84600,741.1111111111111,22.0,0.0,11.0,0.0,0.0,0.006114,0.0,0,33.0,38.518518518518476
85200,724.074074074074,22.0,0.0,11.0,0.0,0.0,0.006055,0.0,0,33.0,31.851851851851848
85800,713.8461538461538,22.0,0.0,11.0,0.0,0.0,0.006055,0.0,0,33.0,37.17948717948718
86400,702.5925925925926,22.0,0.0,11.0,0.0,0.0,0.006055,0.0,0,33.0,32.59259259259261
87000,692.2222222222222,22.0,0.0,11.0,0.0,0.0,0.005647,0.0,0,33.0,0.0
87600,676.6666666666666,22.0,0.0,11.0,0.0,0.0,0.005647,0.0,0,33.0,0.0
88200,670.0,22.0,0.0,11.0,0.0,0.0,0.005647,0.0,0,33.0,0.0
105000,1021.5,22.0,0.0,46.0,22.0,1.0,0.005166,5.0,2,90.0,-307.3461538461538
105600,1162.5925925925926,22.0,27.0,39.0,21.0,1.0,0.005166,5.0,3,109.0,-294.8148148148148
106200,1182.5925925925926,22.0,30.0,111.0,16.0,0.0,0.005166,5.0,3,179.0,-310.74074074074065
106800,1328.8461538461538,22.0,31.0,111.0,17.0,0.0,0.005989,5.0,2,181.0,-272.2649572649573
107400,1457.4074074074074,22.0,26.0,111.0,17.0,0.0,0.005989,5.0,2,176.0,-310.6695156695157
108000,1493.3333333333333,22.0,30.0,109.0,19.0,0.0,0.005989,5.0,2,180.0,-447.4074074074074
108600,1601.111111111111,22.0,25.0,112.0,21.0,0.0,0.005462,5.0,2,180.0,-508.14814814814804
109200,1768.076923076923,22.0,27.0,98.0,22.0,0.0,0.005462,5.0,3,169.0,-524.1452991452991
109800,1940.7407407407406,22.0,30.0,102.0,20.0,0.0,0.005462,5.0,3,174.0,-490.7977207977208
110400,2109.259259259259,22.0,28.0,107.0,25.0,0.0,0.006151,4.0,3,182.0,-423.7037037037039
111000,2292.222222222222,22.0,33.0,95.0,19.0,0.0,0.006151,5.0,3,169.0,-208.88888888888914
111600,2431.5384615384614,22.0,17.0,106.0,22.0,0.0,0.006151,5.0,3,167.0,-117.72079772079769
112200,2532.962962962963,22.0,16.0,105.0,20.0,0.0,0.005504,5.0,2,163.0,-17.037037037036953
112800,2501.1111111111113,22.0,16.0,100.0,17.0,0.0,0.005504,5.0,1,155.0,-48.88888888888869
113400,2549.259259259259,22.0,57.0,104.0,16.0,0.0,0.005504,5.0,2,199.0,-0.7407407407408755
114000,2550.0,22.0,31.0,106.0,15.0,0.0,0.005517,5.0,2,174.0,0.0
114600,2550.0,22.0,47.0,100.0,18.0,0.0,0.005517,4.0,2,187.0,0.0
115200,2550.0,22.0,53.0,100.0,25.0,0.0,0.005517,5.0,3,200.0,0.0
115800,2550.0,22.0,28.0,104.0,0.0,0.0,0.00495,5.0,3,154.0,0.7407407407408755
116400,2550.0,22.0,47.0,112.0,0.0,0.0,0.00495,5.0,3,181.0,154.0740740740739
117000,2550.0,22.0,28.0,108.0,0.0,0.0,0.00495,5.0,3,158.0,280.76923076923094
117600,2549.259259259259,50.0,18.0,110.0,0.0,0.0,0.004699,4.0,3,178.0,354.44444444444434
118200,2395.925925925926,47.0,16.0,108.0,0.0,0.0,0.004699,5.0,2,171.0,316.66666666666697
118800,2269.230769230769,33.0,16.0,106.0,0.0,0.0,0.004699,5.0,2,155.0,274.04558404558384
119400,2194.814814814815,35.0,16.0,117.0,0.0,0.0,0.004508,5.0,2,168.0,319.04558404558406
120000,2079.259259259259,33.0,19.0,106.0,0.0,0.0,0.004508,4.0,2,158.0,292.5925925925924
120600,1995.1851851851852,33.0,16.0,110.0,0.0,0.0,0.004508,5.0,1,159.0,304.44444444444457
121200,1875.7692307692307,33.0,17.0,109.0,0.0,0.0,0.004447,4.0,1,159.0,261.3247863247864
121800,1786.6666666666667,36.0,16.0,107.0,0.0,1.0,0.004447,5.0,1,159.0,160.89743589743603
122400,1690.7407407407406,77.0,16.0,107.0,0.0,0.0,0.004447,2.0,1,200.0,14.074074074073906
123000,1614.4444444444443,44.0,27.0,94.0,0.0,0.0,0.004951,4.0,1,165.0,-85.9259259259261
123600,1625.7692307692307,77.0,26.0,114.0,0.0,0.0,0.004951,5.0,2,217.0,-70.52706552706559
124200,1676.6666666666667,80.0,27.0,106.0,0.0,0.0,0.004951,5.0,2,213.0,42.051282051282215
124800,1700.3703703703704,72.0,56.0,108.0,0.0,0.0,0.0039,5.0,2,236.0,131.1111111111111
125400,1696.2962962962963,73.0,55.0,25.0,0.0,0.0,0.0039,4.0,2,153.0,186.66666666666674
126000,1634.6153846153845,62.0,52.0,26.0,0.0,0.0,0.0039,5.0,1,140.0,160.5413105413104
126600,1569.2592592592594,64.0,52.0,25.0,0.0,0.0,0.0039,5.0,1,141.0,125.41310541310554
127200,1509.6296296296296,63.0,53.0,25.0,0.0,0.0,0.0039,4.0,1,141.0,101.85185185185173
127800,1474.0740740740741,64.0,44.0,26.0,0.0,0.0,0.0039,4.0,1,134.0,108.14814814814827
128400,1443.8461538461538,55.0,44.0,29.0,0.0,0.0,0.0039,5.0,1,128.0,136.80911680911686
129000,1407.7777777777778,55.0,41.0,25.0,0.0,0.0,0.0039,5.0,1,121.0,119.31623931623926
129600,1365.9259259259259,54.0,56.0,25.0,0.0,0.0,0.0039,5.0,1,135.0,107.40740740740739
130200,1307.037037037037,54.0,41.0,26.0,0.0,1.0,0.0039,5.0,1,121.0,45.55555555555543
130800,1288.4615384615386,54.0,32.0,25.0,0.0,0.0,0.0039,5.0,0,111.0,18.831908831909004
131400,1258.5185185185185,54.0,31.0,25.0,0.0,0.0,0.0039,4.0,1,110.0,-11.481481481481524
132000,1261.4814814814815,43.0,30.0,25.0,0.0,0.0,0.0039,5.0,1,98.0,-2.5925925925926094
132600,1269.6296296296296,43.0,31.0,27.0,0.0,0.0,0.0039,5.0,1,101.0,23.703703703703695
